Date,Palm oil,Soybean oil,Rapeseed oil,Sunflower oil,Soybeans,Maize,Rice,Wheat (US),Phosphate rock,DAP,TSP,Urea ,Potassium chloride
01/01/2006,459.05,535.83,728.91,591,257,102.65,258.09,155.66,44,244.3,201,202.3,167.5
01/02/2006,473.9,533.27,716.23,595,257,107.13,264.32,164.54,44,238.13,201,213.88,167.5
01/03/2006,472.52,540.6,738.57,606,257,105.25,259.84,158.55,44,233.63,200.6,243.13,167.5
01/04/2006,475.9,540.44,773.72,659,258,107.72,259.13,160.58,44,231.75,200.5,247.5,167.5
01/05/2006,483.72,588.29,828.42,679,266,110.65,264.91,172.05,44,232.9,200.5,229.5,167.5
01/06/2006,478.16,600.55,829.91,666,267,109.4,267.23,167.65,44,232.38,200.5,210,167.5
01/07/2006,499.21,630.01,820.58,647,271.75,113.99,269.51,173.14,44,230.3,202,205.5,172.5
01/08/2006,534.26,632.18,809.12,666,262,116.59,270.16,169.14,44,228.25,202,210.5,192.5
01/09/2006,511.24,602.35,785.73,669,258,121.75,271.03,181.43,44,225.13,202,215.13,192.5
01/10/2006,514.18,614.71,784.4,666,273,142.17,270.62,204.93,44,218.5,202,209.2,192.5
01/11/2006,571.57,675.67,822.39,722,300,164.54,263.42,201.31,44,219.38,202,227.38,192.5
01/12/2006,625.88,698.12,854.31,730,297,160.38,271.17,197.08,44,223.83,205.5,251.67,192.5
01/01/2007,637.59,697.33,823.02,719,306,164.77,281.13,186.02,44,249.2,207.5,265,192.5
01/02/2007,645.2,715.04,790.39,709,325,177.35,291.81,188.22,44,317.63,215,299.38,192.5
01/03/2007,660.93,719.03,771.51,713,322,170.51,296.32,183.82,44,387,254.5,318.13,192.5
01/04/2007,743.45,753.7,808.43,755,319.75,152.75,293.31,186.79,44,404.6,300,291,192.5
01/05/2007,816.09,788.7,844.71,831,334,160.23,292.29,188.25,44,392,338.13,293.13,192.5
01/06/2007,833.19,835.55,867.68,916,361,165.25,295.81,214.03,44,387.88,355,291.88,192.5
01/07/2007,854.52,887.12,925.81,999,375.5,146.84,299.68,232.01,44,398.5,355,269.5,192.5
01/08/2007,830.65,921.79,958.29,1114,385,151.17,302.13,256.81,44,401.63,377.5,260.63,192.5
01/09/2007,851.63,977.48,1044.75,1279,426,159.44,304.69,324.76,57.75,399.63,392.5,305,197.5
01/10/2007,926.2,1007.69,1146.97,1358,450,164.16,314.7,330.35,71.5,406,402.9,323.75,202.5
01/11/2007,998.57,1141.52,1252.43,1401,489,171.25,325.25,314.73,71.5,447,423.75,366.25,202.5
01/12/2007,1002.22,1187.73,1336.75,1469,503.99,180.25,346.56,356.96,71.5,512.5,446.88,401.67,202.5
01/01/2008,1122.15,1280.2,1390.42,1709,528.5,206.66,366,357.24,71.5,593.88,539.2,376.63,230.63
01/02/2008,1268.63,1414.17,1429.55,1839,574.01,220.07,448.75,406.87,71.5,692.5,729.38,328.13,240
01/03/2008,1377.22,1488.74,1510.12,1863,558.86,234.36,565.8,429.66,71.5,862.2,875.63,371,240
01/04/2008,1320.11,1422.23,1471.49,1838,549.11,246.44,834.83,342.83,160.38,953.5,1029,462.5,393
01/05/2008,1326.45,1437.87,1524.95,1962,566.12,243.46,814.6,291.93,190,997.5,1037,633.75,546
01/06/2008,1293.21,1535.16,1591.88,2045,634.85,287.11,709.33,301.65,190,1004.1,1043.13,642,546
01/07/2008,1213.48,1506.98,1549.44,1692,637.25,265.34,669.06,286.82,240,1075.75,1112.5,733.75,546
01/08/2008,963.57,1329.64,1352.83,1319,557.28,235.03,606.81,292.36,290,1065,1131.5,785,546
01/09/2008,826.02,1201.02,1238.29,1176,525.48,233.85,579.25,259.66,278,980,1079.25,744.5,546
01/10/2008,635.75,942.53,1040.68,950,399.87,183.06,480.89,211.65,450,910,965,575,546
01/11/2008,581.25,825.64,974.82,835,371.76,163.77,432.58,204.91,450,710,606,287.5,546
01/12/2008,587.24,745.55,838.02,759,359.35,158.26,413.45,199.72,450,495,405,240,546
