Date,Food_48m_inflation,Fertilizer_48m_inflation
01/01/2000,-20.9998156,-4.051021122
01/02/2000,-20.0816935,5.136468074
01/03/2000,-19.88550048,1.449192609
01/04/2000,-20.31350819,-7.135549512
01/05/2000,-20.16144907,-2.547023232
01/06/2000,-19.08258757,5.736114615
01/07/2000,-20.92376412,14.05875527
01/08/2000,-16.913639,20.03178896
01/09/2000,-14.96719163,13.22714127
01/10/2000,-15.33939941,15.95700513
01/11/2000,-17.02157408,11.88228298
01/12/2000,-11.24809546,13.01376343
01/01/2001,-11.69404789,25.43211377
01/02/2001,-6.771848405,13.94032055
01/03/2001,-4.082912564,4.174896858
01/04/2001,-3.815103861,7.663817358
01/05/2001,0.204500293,2.31065949
01/06/2001,3.632235943,3.642961664
01/07/2001,17.12082014,5.803433913
01/08/2001,11.53542557,5.681098603
01/09/2001,3.836048992,8.002694564
01/10/2001,-0.741860536,10.23685783
01/11/2001,4.53736163,12.56071557
01/12/2001,5.700613565,14.44953123
01/01/2002,2.85545915,10.45979253
01/02/2002,0.390771728,3.930629731
01/03/2002,3.254478509,0.624176732
01/04/2002,1.160879542,-0.395654894
01/05/2002,4.329277483,-2.578001772
01/06/2002,10.1009635,-6.229724317
01/07/2002,17.03735953,-11.89205028
01/08/2002,17.96923148,-11.16847223
01/09/2002,19.65978492,-8.850406413
01/10/2002,18.75427054,-8.365646853
01/11/2002,16.71408178,-2.399400677
01/12/2002,14.85791589,1.789472492
01/01/2003,14.61954227,-3.404711436
01/02/2003,14.87187672,11.7081196
01/03/2003,14.8987652,18.58183692
01/04/2003,15.1082977,12.19458183
01/05/2003,13.37652029,22.12919484
01/06/2003,11.73866725,24.30447832
01/07/2003,1.263963972,28.28220112
01/08/2003,3.909385525,26.64664609
01/09/2003,12.40560247,26.54962878
01/10/2003,27.68541459,28.99074753
01/11/2003,28.30149195,28.6183874
01/12/2003,27.60397125,28.34364458
01/01/2004,30.98136086,28.56017274
01/02/2004,37.57808448,20.05978071
01/03/2004,42.82623096,23.12172822
01/04/2004,42.40515232,26.38714428
01/05/2004,34.32609841,28.27414678
01/06/2004,25.49130748,35.22152453
01/07/2004,18.91048101,48.11490617
01/08/2004,14.75059,47.63924276
01/09/2004,10.36750713,66.44494843
01/10/2004,8.301848481,77.97610318
01/11/2004,8.647272592,72.48434872
01/12/2004,7.120035762,52.65085093
01/01/2005,7.79364192,45.65927429
01/02/2005,12.46602676,34.19303192
01/03/2005,18.97769486,40.39625868
01/04/2005,16.58053269,59.72806791
01/05/2005,15.70283976,58.99230826
01/06/2005,15.50452431,42.016629
01/07/2005,17.36785351,38.74882253
01/08/2005,13.30901042,35.02316163
01/09/2005,11.57282655,32.60307159
01/10/2005,5.657522922,30.87440789
01/11/2005,-0.208645724,38.05190312
01/12/2005,2.927973131,28.96004105
01/01/2006,1.301924438,23.67704309
01/02/2006,1.914496434,37.18081531
01/03/2006,-5.158374561,48.726444
01/04/2006,-4.748939844,51.26219894
01/05/2006,2.469361946,41.56912839
01/06/2006,2.463144707,25.85667244
01/07/2006,6.969565381,13.99427425
01/08/2006,8.89524462,12.04002599
01/09/2006,9.201649889,5.062238579
01/10/2006,16.15171011,-2.429928761
01/11/2006,22.10790209,5.22284785
01/12/2006,21.95605865,22.35151996
01/01/2007,22.47763412,26.294036
01/02/2007,22.21346846,35.74967349
01/03/2007,15.87134865,33.75960237
01/04/2007,19.21530856,24.00658114
01/05/2007,24.23766107,24.05559662
01/06/2007,30.75452701,37.00947705
01/07/2007,34.59530885,30.21375558
01/08/2007,38.80653121,34.54020186
01/09/2007,44.31058648,50.75782896
01/10/2007,46.96600181,58.73946294
01/11/2007,55.15995523,60.97731812
01/12/2007,56.84082458,79.974307
01/01/2008,64.04525463,90.99223668
01/02/2008,72.11267065,93.11174636
01/03/2008,87.23109769,103.2033516
01/04/2008,93.79891267,172.0175877
01/05/2008,86.70585464,246.8897252
01/06/2008,99.41007035,266.0096249
01/07/2008,91.36183195,310.566995
01/08/2008,74.41216703,324.6681781
01/09/2008,63.65082405,302.5336315
01/10/2008,31.48537052,302.8734403
01/11/2008,17.56100435,188.067711
01/12/2008,12.81537584,144.6994834
01/01/2009,20.55651886,139.9661573
01/02/2009,15.49070314,124.5259516
01/03/2009,15.40598202,114.2343197
01/04/2009,20.05314002,84.42901361
01/05/2009,23.94256462,65.68238887
01/06/2009,18.87711467,48.64025346
01/07/2009,10.5570161,28.26663346
01/08/2009,12.87154934,23.06014445
01/09/2009,3.400692751,-1.11127646
01/10/2009,0.8267538,-5.542961758
01/11/2009,0.55199927,-12.18101597
01/12/2009,-2.298218889,-14.76870014
01/01/2010,-7.302851531,-15.43488304
01/02/2010,-17.83550966,-15.43171909
01/03/2010,-25.28954018,-26.22253697
01/04/2010,-28.11446904,-46.88136348
01/05/2010,-28.98637885,-58.60848281
01/06/2010,-32.06155525,-60.1988529
01/07/2010,-26.73351733,-61.4875287
01/08/2010,-14.49177191,-61.62524843
01/09/2010,-3.721459653,-56.22282289
01/10/2010,21.08097796,-53.60649326
01/11/2010,33.57279293,-34.59145098
01/12/2010,46.26133664,-25.61479354
01/01/2011,41.18780919,-26.488068
01/02/2011,47.38395899,-30.26487902
01/03/2011,41.62788286,-33.71219066
01/04/2011,38.1141308,-22.55277306
01/05/2011,27.6400354,-18.09118001
01/06/2011,27.21917196,21.84617336
01/07/2011,34.51669192,54.52230368
01/08/2011,31.2601609,63.56956062
01/09/2011,33.30049119,86.40016721
01/10/2011,25.07696569,83.24766726
01/11/2011,20.00939046,80.49725063
01/12/2011,16.86315566,64.18308695
01/01/2012,17.77238898,49.06550134
01/02/2012,24.8529069,44.09441108
01/03/2012,32.33982698,44.10638153
01/04/2012,34.27906382,66.92101422
01/05/2012,33.40658649,82.69726486
01/06/2012,34.57268683,78.86662252
01/07/2012,40.8216864,28.54749769
01/08/2012,33.32708125,42.89442655
01/09/2012,25.24658327,30.9629241
01/10/2012,14.57008717,20.1531899
01/11/2012,8.652770036,17.15018662
01/12/2012,2.059356461,13.06135294
01/01/2013,-3.11506614,9.235545819
01/02/2013,-6.573406834,18.12392367
01/03/2013,-2.91572174,16.09619306
01/04/2013,-6.935682838,6.148855729
01/05/2013,-5.318538693,14.12760895
01/06/2013,-4.667746304,-21.62149587
01/07/2013,-7.715550712,-28.09890343
01/08/2013,-12.11072686,-31.20080899
01/09/2013,-10.89345466,-36.40611846
01/10/2013,-5.91756394,-38.86740066
01/11/2013,-5.998817458,-37.18172983
01/12/2013,-4.770158082,-32.09762019
01/01/2014,-8.139270857,-23.73919554
