Rus_Exports_to_Indonesia;Value
Fertilizers;239.740.000
Mineral fuels, oils, distillation products;156.100.000
Iron and steel;113.120.000
Aluminum;44.900.000
Salt, sulphur, earth, stone, plaster, lime and cement;27.620.000
Fish, crustaceans, molluscs, aquatics invertebrates;16.500.000
Rubbers;13.340.000
Paper and paperboard, articles of pulp, paper and board;11.870.000
Coffee, tea, mate and spices;9.740.000
Organic chemicals;7.710.000
Cereals;4.470.000
Electrical, electronic equipment;4.240.000
Essential oils, perfumes, cosmetics, toileteries;4.200.000
Machinery, nuclear reactors, boilers;4.180.000
Commodities not specified according to kind;3.420.000
Plastics;3.220.000
Pulp of wood, fibrous cellulosic material, waste;3.200.000
Wood and articles of wood, wood charcoal;3.150.000
Optical, photo, technical, medical apparatus;2.970.000
Stone, plaster, cement, asbestos, mica or similar materials;2.100.000
Articles of iron or steel;1.110.000
Inorganic chemicals, precious metal compound, isotope;1.080.000
Toys, games, sports requisites;710.330
Tools, implements, cutlery of base metal;421.140
Tobacco and manufactures tobacco substitutes;397.320
Miscellaneous chemical products;362.620
Vehicles other than railway, tramway;284.820
Ships, boats, and other floating structures;165.260
Soaps, lubricants, waxes, candles, modelling pastes;126.310
Impregnated, coated or laminated textile fabric;74.630
Meat and edible meat offal;63.460
Base metals not specified elsewhere, cermets.;52.910
Tanning, dyeing extracts, tannins, derivatives, pigments;52.900
Glass and glassware;44.310
Pharmaceutical products;34.540
Milling products, malt, starches, inlin, wheat gluten;26.760
Beverages, spirits and vinegar;24.520
Furniture, lighting signs, prefabricated buildings;24.050
Residues, wastes of food industry, animal fodder;22.950
Miscellanneous manufactured articles;14.700
Manmade staple fibers;13.630
Copper;13.470
Other made textile articles, sets, worn clothing;12.120
Oil seed, oleagic fruits, grain, seed, fruits;11.430
Products of animal origin;9.210
Edible vegetables and certain roots and tubers;7.950
Clocks and watches;7.730
Miscellaneous articles of base metal;7.530
Dairy products, eggs, honey, edible products;6.340
Articles of apparel, not knit or crocheted;6.000
Nickel;5.810
Musical instruments, parts and accessories;3.410
Vegetable, fruit, nut food preparations;2.300
Albuminoids, modified starches, glues, enzymes;2.140
Meat, fish and seafood preparations;1.140
Footwear, gaiters and the like,;1.120
Articles of leather, animal gut, harness, travel good;1.070
Articles of apparel, knit or crocheted;1.000
Wadding, felt, nonwovens, yarns, twine, cordage;730
Edible fruits, nuts, peel of citrus fruit, melons;483
Live animals;400
Lead;238
Tin;76
Printed books, newspapers, pictures;73
Carpets and other textile floor coverings;70
Raw hides and skins (other than furskins) and leather;63
Cotton;61
Special woven or tufted fabric, lace, tapestry;29
Vegetable textile fibers not specified elsewhere, paper yarn, woven fabric;5
